"","hcid","UTMX","UTMY","elev","closest_clinic","catchment_area","closest_river","drought_i","prec","ndvi","tmax","tmin","tmean","tmeanC","date2","name","date","rdtp_u5","rdtp_a5","pos_rdt","yearmon"
"19",110,495413,8168780,1204,19538.89434,759644033.9,1078.508669,39.8618578229632,0.567000003065914,0.552714288234711,301.564714704241,285.859431675502,293.712073189872,20.5620731898717,2012-04-29,"Mbabala",2012-04-23,2,9,9,Apr 2012
"20",109,489883,8203015,1055,7975.726801,239798716.4,479.828009,31.9398580278669,0.639999990351498,0.559571427958352,302.001425606864,286.211713518415,294.106569562639,20.9565695626395,2012-04-29,"Mapanza",2012-04-23,0,5,5,Apr 2012
"21",108,504094,8191539,1083,10207.77669,309214284.2,6673.366861,31.9398580278669,0.639999990351498,0.559571427958352,302.001425606864,286.211713518415,294.106569562639,20.9565695626395,2012-04-29,"Mangunza",2012-04-23,0,11,11,Apr 2012
"22",107,477702.886,8187492.626,1140,12721.14216,241078519.7,4584.596115,37.7882859366281,0.392999984323978,0.526285716465541,301.705714634486,285.75,293.727857317243,20.5778573172433,2012-04-29,"Macha",2012-04-23,1,3,3,Apr 2012
"23",106,475899,8169766,1268,14303.26344,419002790.9,5722.102797,37.7882859366281,0.392999984323978,0.526285716465541,301.705714634486,285.75,293.727857317243,20.5778573172433,2012-04-29,"Kamwanu",2012-04-23,0,2,2,Apr 2012
"24",105,486462,8245784,1011,20171.62066,1028382139,15745.78486,34.0291421072824,0.329000003635883,0.571999992643084,301.887425013951,286.276144845145,294.081784929548,20.931784929548,2012-04-29,"Kabulamwanda",2012-04-23,0,1,1,Apr 2012
"25",104,448856,8191328,1219,13440.04423,448935561.7,2811.055333,29.5634286063058,1.83799995714799,0.577000004904611,302.576285226004,286.66070992606,294.618497576032,21.4684975760325,2012-04-29,"Habulile",2012-04-23,9,32,32,Apr 2012
"26",103,492896,8226666,1011,20171.62066,818234640.6,7359.362935,30.8731433323451,0.56199998781085,0.567285708018711,302.145002092634,286.412854875837,294.278928484235,21.1289284842354,2012-04-29,"Chitongo",2012-04-23,0,4,4,Apr 2012
"27",102,488710,8193870,1100,6747.577047,102078346.6,3139.40613,31.9398580278669,0.639999990351498,0.559571427958352,302.001425606864,286.211713518415,294.106569562639,20.9565695626395,2012-04-29,"Chilalantambo",2012-04-23,0,0,0,Apr 2012
"28",101,462089,8188978,1188,10862.85713,196111854.8,6450.007832,37.7882859366281,0.392999984323978,0.526285716465541,301.705714634486,285.75,293.727857317243,20.5778573172433,2012-04-29,"Chilala",2012-04-23,5,12,12,Apr 2012
"29",114,481916,8202642,1114,7975.726801,228760980.8,5038.897067,32.1332860674176,0.417999989353121,0.526714290891375,302.066284179688,285.877144949777,293.971714564732,20.8217145647322,2012-05-06,"Simaubi",2012-04-30,0,8,8,May 2012
"30",113,464482,8178382,1207,10862.85713,248957046,3571.639345,38.3542856488909,0.0459999996237457,0.494857149464743,301.731571742466,286.089852469308,293.910712105887,20.7607121058873,2012-05-06,"Siabunkululu",2012-04-30,2,8,8,May 2012
"31",112,494046,8189740,1109,6747.577047,180701266.4,1199.13243,39.9182848249163,0.195999996736646,0.525142865521567,301.549429757255,286.05029296875,293.799861363002,20.6498613630024,2012-05-06,"Nalube",2012-04-30,0,0,0,May 2012
